,0,label
1602,reduc retail activ temporari reduct coin product due covid 19 caus nation coin shortag the shortag part plan elimin paper money httpstcofxp 7cq5lvl,fake
3283,death  1564 yesterday  pretti close averag april daili death 1500 lower recent day note saw big dip sunmon last week 4546 jump new plateau httpstcop 0guuaqdnn,real
6073,there scienc data suggest kid risk covid ,fake
3149,there 69 peopl link commun cluster remain auckland quarantin facil includ 52 peopl test posit covid 19 household contact,real
665,our daili updat publish state report 11 million test 44k case 737 death thi first time weve seen 1 million test report httpstcowx 85tr8wce,real
905,rt pibindia activ case 990061 15th 20 total case 3859399 recoveri rate stand 7828 number test ,real
657,renata vasconcello one brazil famou news anchor contract covid 19,fake
10407,we hope everyon  full recoveri there 160 peopl link cluster move manag quarantin facil auckland includ 89 peopl return posit test well household contact,real
663,thirtyeight new case covid 19 report 23 kano 5 gomb 3 kaduna 2 borno 2 abia 1 fct 1 sokoto 1 ekiti as 1110 pm 20th april 665 confirm case covid 19 report nigeria discharg 188 death 22 httpstcok 354y8ks0w,real
6385, we 1398 peopl report recov covid 19 thi 93 case    today two peopl hospit covid 19  one middlemor north shore hospit neither icu there addit death  ,real
2090,ikaveri far better bang thali shout go corona go also far better take coronil clappinghand,fake
1053,amish commun remain covid free coronaviru pandem,fake
8053,ebola versu covid 19 the movi httpstco 5y8xadtfug hollywood covid 19 ebolaviru,fake
7359,updat ministri health today one new case covid 19 report manag isol new zealand it 74 day sinc last case covid 19 acquir local unknown sourc,real
2316,mike penc said amid covid 19 pandem presid trump forg  seamless  partnership governor he spoke governor also often bash mostli fals httpstcoxdfm 4f80bx rnc 2020 httpstco 4ifd4r9ax,fake
8644,as 0800 pm 31st march 139 confirm case 9 discharg 2 death for breakdown case state real time visit httpstcozqrpneofet current lago 82 fct 28 oyo 8 osun 5 ogun 4 kaduna 3 enugu 2 edo 2 bauchi 2 ekoti 1 river 1 benu 1,real
693,fact check neither the viral post on coronaviru covid 19 is from unicef nor it is accur,fake
8204,in north korea person allegedli shot local author violat quarantin rule went public restroom,fake
10286,there current enough evid suggest covid 19 survivor becom immun recoveri takerespons checkmarkbuttonwearamask checkmarkbuttonobserv physic distanc checkmarkbuttonwash hand frequent soap amp water maskonnaija protect other httpstcobyb 68a06sq,real
9625,we proud announc india realis pm narendramodi vision conduct 10 lakh test per day thi signific mileston fight covid 19 indiafightscorona mohfwindia pibindia httpstcoj 2hf9ulbti,real
7989,kabataan repres sarah elago said lockdown curfew impos presid rodrigo dutert human right call peopl power,fake
1771,a new cdcmmwr find mani covid 19 infect among healthcar worker appear go undetect like mani peopl infect viru caus covid 19 mild symptom learn httpstcovokbzil 9ob httpstcobntacmizr 9,real
6154,an updat alert level auckland remain alert level 3 rest new zealand remain level 2 1159 pm wednesday 26th august thi bring us full 2 week total httpstcoxv 52fcvng9,real
2871,one case recov total number activ case remain 27 quarantin  our total number confirm case 1198 number report world health organ,real
5629,rt cdchivaid covid 19 clinician tip underscor import follow cdc precaut prevent covid 19 social di ,real
6559,as suppli increas next stage vaccin rollout would expand base assess countri  vulner virusdrtedro covid 19,real
643,world not tell covid 19 how to do it job but here  a list of peopl httpstcodel 1oyfuoi,fake
7653,bori johnson must act next week tackl second wave coronaviru infect across uk lead scientist warn httpstcoautapti 5sn,real
10521, independ sage advis  withdraw lockdown claim uk record highest coronaviru daili case sinc may follow today  event live backhandindexpointingdown httpstconyzlpjyfxm,real
8625,new lockdown last long children could put shoe twice httpstcoaee 1bpqphg httpstcozlmpeyqg 0j,fake
10525,recent studi show signific portion individu covid 19 lack symptom  asymptomat  even eventu develop symptom  presymptomat  transmit viru other show symptom,real
5172,here  problem test peopl strain coronaviru specif covid 19 there reliabl test specif covid 19 viru,fake
3258,today ncdc accredit 15 laboratori across countri total capac test 2500 daili lago state amp fct support ncdc establish sever sampl collect center amp nation test strategi review maxim test he mbuhari,real
2064,peopl like dr eric coe jump chanc help test coronaviru vaccin httpstco 3esyo7zupq,real
284,jsolomonreport soon 67 never flu vaccin never flu most i know got flu vaccin also got flu that  1st person knowledg conjectur alt organ dk green protein exercis h2o sodium bicarbon d3 c iodin etc jesu physician greatest ever,fake
309,updat covid 19scienc covid 19 brazil rightarrowpercentag infect popul 33 so paulo 106 amazona rightarrow 54 drop reproduct number r follow intervent rightarrowr 1 epidem yet control japanesesymbolforbeginnerreport httpstcolcfch 0fxct httpstcoyoycpflaag,real
9455,video dead bodi pile itali due covid 19,fake
6077,lockdown wouldnt be so bad if man didnt have wife kid mortgag httpstcobepvc 16zcn,fake
8385,in march presid trump said coronaviru snuck us  ad  unforeseen thing pant fire member trump administr sound alarm month httpstcoweqbomfqwu via khnew httpstcoa 5veuoeyp4,fake
6844,instead  highlight blackl organ work understand respond covid give attent give money celebr hard work keep peopl safe healthi societi structur antiblack,real
4988,today state report 453 death fewest sinc march 28 the 7day averag 829 death per day httpstco 0kiktvvgpr,real
9463,bluelili 910 annacb 421 yup that prospect data hole that realli open were concern weve seen state like tn sometim move toward open alexismadrig,real
6419,it 93 day sinc last case covid 19 acquir local unknown sourc the total number activ case covid 19 new zealand  manag isol quarantin facil 25,real
716,fox new report us presid trump test posit covid 19,fake
6457,help prevent spread covid 19 avoid close contact peopl sick wash hand often least 20 second avoid touch face practic social distanc put space other httpstco 0d99flmeyc httpstcoo 8gy8egcss,real
8318,rodrigo maia presid lower hous congress brazil vote law forbid presid close border,fake
7856,a russian drug call arbidol cure coronaviru,fake
628,indiafightscorona there 18 statesut countri total number activ case 5000 upto 50000 secretari mohfwindia staysaf indiawillwin icmrdelhi httpstcozgk 7dyzkmm,real
4931,justintrudeau how test theori covid 19 test kit highli inaccur regular canadian citizen receiv 100 test kit go around test varieti differ thing like anim insect food etc live camera label name see result,fake
7529,367 peopl refer test yet result,real
6641,queen elizabeth step down perman as queen amid coronaviru pandem httpstcolufkjtwqab,fake
2247,justinhart randpaul covid 19 plandem judi mikovit replac toni fauci head infecti diseas control she explain thing much clearli httpstco 09kofbfifk,fake
1640,rt cdcdirector cdc  guidelin combat spread covid 19 includ social distanc discourag gather 10 mor ,real
8398,wear mask prevent transmiss covid 19,fake
10437,and access covid 19 tool acceler covax global vaccin facil  work ensur vaccin proven safe effect access equit countriesdrtedro rcafro 70,real
4170,face mask becom compulsori bar staff shop worker waiter taxi driver effort combat rise coronaviru case england prime minist announc httpstcorkz 60kruul,real
8329,as per hmoindia guidelin person gt65 yr age person comorbid etc advis stay home except essenti amp health purpos httpstcosw 0jhaq7ac kindli refer health advisori elderli popul covid 19 httpstcofurgmzfqfq httpstcovu 2xspc5pf,real
666,of 2159 peopl left manag isol facil period around 60 contact test neg covid 19 a 366 peopl spoken refer test,real
8914,older adult appear twice like seriou covid 19 ill take everyday precaut reduc risk exposur  avoid close contact peopl sick  wash hand often  avoid touch face nose amp eye httpstcok 8q30lyli httpstcocseundyanf,real
9031,tree 777hug qclueso 7 paulamjohn lucki grapefruit  make quinin hydtoxychloroquin differ chemic you  get both somewhat effect antimalari treatment side effect they effect sarscov 2 viru caus covid 19 httpstcobreq 86xju2,fake
5397,poll find 38 american say drink corona beer viru,fake
5659,socialdistanc one best tool avoid expos covid 19 to help slowthespread covid 19 keep key time mind socialdist learn httpstcok 5guyjx2ri httpstcontwnllsjy,real
2036,a member tablighi jamaat misbehav covid 19 quarantin zone,fake
5703,spread viru caus covid 19 colleg spring break trip mexico led outbreak result 64 confirm case learn univers public health depart work togeth control outbreak cdcmmwr httpstcoardudx 93dz httpstcovvbbqdflbp,real
8656,bewar of a donald trump vaccin httpstcorkjo 91llep jaredkushn billbarr,fake
2182,muslim hoard food item share indian govern,fake
1446,texa recent chang way count covid 19 death also retroact adjust death count day death we report date report jurisdict track blog post detail come later week,real
100,say rudi giuliani bought 2m share novarti primari supplier hydroxychloroquin earli februari,fake
8203,say video show  chines destroy 5g pole awar thing trigger corona symptom ,fake
2627,lesamitchel kmedv kenpomeroy it quit thing data trench we updat state descript 2030 time day,real
4359,coronaviru covid 19 usa adhaan today kuwait chang due coronaviru instead  hayya alassalah  come prayer  alsalatu fi buyutikum  pray home done time prophet heavi rain wind httpstcomhnavikg 5m,fake
1120,latest updat directorgener health polic commission    there new case covid 19 report today   thi mean new zealand  combin total confirm probabl case 1499 1149 confirm case covid 19 httpstcolrsw 6dshxw,real
7360,law poorli design implement enforc harm margin popul entrench stigma amp discrimin amp hinder effort end covid 19 pandem the databas continu grow countri amp theme addeddrtedro httpstco 9vqp1w73l1,real
4439,we  like highlight alaska provid test turnaround time directli site they even includ full time seri recent 14day averag thi great exampl data transpar httpstco 3gwy9blxni,real
10,take simpl daili precaut help prevent spread respiratori ill like covid 19 learn protect coronaviru covid 19 httpstcouargztrh 5l httpstcobiztxtukyk,real
1567,older adult peopl age sever chronic medic condit like develop seriou outcom includ death infect covid 19 see cdc guidanc peopl higher risk seriou ill httpstcosldrvxxfcz httpstcoecv 4uly1jh,real
8783,two grim mileston over 1000 peopl us die 10000 peopl hospit point were see 80000 total posit test data,real
2297,rt pibindia highlight weekdownwardsbutton checkmarkbuttonmor 36 crore test conduct checkmarkbuttonov 24 lakh recoveri checkmarkbuttonrecoveri rate 75 checkmarkbuttonact ,real
2993,our daili updat publish state report 763k test 37k case 663 covid 19 death import caveat updat includ texa  daili data still today httpstcogrvcvqlarp,real
3909,doctor final admit that women can get coronaviru from toilet seat httpstcodkzsfyak 2,fake
1810,if get sick rememb antibiot not work virus like caus cold flu talk doctor best treatment keep other healthi httpstconytdikcd 1 httpstcoh 5awkzka3p,real
1297,releas date  girl with a pearl ear vs predat  delay octob due coronaviru httpstcobzeocwptri,fake
809,chronic fatigu may longterm effect covid 19 even among young adult httpstcoxkxebsubik via webmd httpstcog 6nu3hz43p,real
5749,rt mohfwindia indiafightscorona india scale yet anoth peak more 12 lakh sampl test past 24 hour cumul ,real
8848,report death also low today 629 if number keep 7day averag fall 1000 httpstco 3cbstnd2zx,real
3078,say covid 19 remain air eight hour everyon requir wear mask everywher ,fake
4167,rural health partner be sure join webinar tomorrow 4 pm et updat covid 19 guidanc public health practition healthcar provid other work protect health rural commun regist httpstcon 0qvareiil httpstco 9iqwjxhmn0,real
7191,indiafightscorona india total recoveri exceed 325 lakh the nation recoveri rate cross 77 thi sustain high recoveri rate fuell 9 statesut report recoveri rate 80 httpstconi 76xxekxk,real
1361,appl googl team creat system notifi cellphon user  expos covid 19 patient but must opt featur httpstcoc 2ytwok7it,fake
2286,coronavirusupd covid 19 test statu updat icmrdelhi state 5293443 3 sampl test upto septemb 9 2020 1129756 sampl test septemb 9 2020 staysaf indiawillwin httpstcoif 5pcoxd5l,real
8324,coronaviru schoolchildren parent could among group prioritis covid 19 test say cabinet minist httpstcoqgurh 2nrim,real
4240,the media pull entir shelf good present news peopl buy stuff hysteria coronaviru,fake
5700,given shortag n95 respir global outbreak covid 19  import understand differ n95 respir surgic mask intend protect healthcar worker learn niosh httpstcorggosymo 30 httpstcohjnqfoawk 9,real
2246,kusaweir zubymus that bacteria virus virus alot smaller bacteria peopl say dont actual work peopl want use,fake
2307,imag doctor smoke treat covid patient gujarat india,fake
1706,steam kill viru nose throat erad coronaviru,fake
4610,ok daili updat publish state report 840k test complet nearli 66k new case hospit tick the major observ howev state report 1400 death today sinc may 15 httpstcopgcu 7z4pxc,real
1291,rt mygovindia pm narendramodi launch hitech state art covid 19 test facil 3 citi scale test 1 ,real
8695,itali went who law  covid 19 autopsi discov covid viru bacterium  clot blood reduc oxygen satur ,fake
2165,an old man infect 300 peopl coronaviru jaipur india tobacco smoke,fake
3806,thi covid 19 covid 1 folk and would think peopl charg world health organ fact figur would top,fake
1927,free hors 52 thoroughbr hors need home will go sugarcreek sat slaughter gentleman die due covid 19 son want noth,fake
5170,in word straightforward scienc behind failur chloroquin hydroxychloroquin show efficaci treat covid 19 33,fake
3382,here even broader view cours pandem march 1 juli 31 first test httpstcobhm 61dpehz,real
4847,what might happen becom longterm unemploy due covid 19 previou experi show your work 1 yr fair call say reduc chanc find work 40 httpstco 3lb8xsviva qanda factcheck,fake
6195,i love nealkhosla safe unsaf increas covid death 5x whi physician understand probabl riskreward kill peopl i long argu hippocrat oath mathemat wrong httpstcoksm 5gkbb4d,fake
7055,staff gold coast hospit australia gift volleybal tom hank quarantin,fake
5414,garlic prevent coronaviru infect there evid protect peopl covid 19 ask evid believ forward ask evid soon see whatsapp forward tell sender mainbhinewscheck coronavirusfact httpstcoehsoolczko,fake
7925,trump viru infect entir white hous httpstcobqpdm 8ma1k donaldtrump 2020presidentialelect dranthonyfauci covid 19,fake
58,resid york ask think new govern rule allow peopl england may covid 19 fine  10000 fail selfisol to read click httpstcopqd 1i8xgam httpstcoqpgh 3xldio,real
7471,protocol includ  undertak test covid 19  travel directli facil agre address without leav vehicl wear ppe includ glove mask spend time famili member die ,real
182,while true coronaviru caus sore throat gargl salt warm water may make feel better direct effect viru covid 19 afaracar,fake
9626,oklahoma 100 coronaviru test rate trump tulsa ralli ,fake
6566,youll note secondhighest number test complet day yesterday saw huge spike california clear test report backlog 140k test per day probabl closer countri real test capac moment,real
3346,indiafightscorona mohfwindia regularli engag state ut exhibit either sudden surg covid 19 case high caseload report higher mortal district staysaf indiawillwin detail httpstcoichoboxyci httpstcoyfozahlnrl,real
3324,massiv thank state employe updat public health site difficult circumst we huddl team put togeth suggest covid 19 test data report could improv make aggreg easier httpstcoa 8u7ahubok,real
8550,nh servic could take long 2 year recov effect covid 19 httpstconui 91yb7m httpstcorqk 0amgomq,real
3036,a new case novel coronaviru regist saudi arabia a nurs india diagnos specif strain viru,fake
4649,our daili updat publish we mani incomplet report state today two state miss cutoff time ak ri today  data reflect holiday weekend dip test report 47k new case today 518k new test 242 death correct 158 httpstco 7g4xwqcwfb,real
8486,a video view thousand time multipl post facebook twitter claim show us presid donald trump test posit novel coronaviru,fake
8214,chines politician xi jinp said chines scientist found cure coronaviru cow urin,fake
3482,break angri mob portsmouth beat coronari care specialist confus coronaviru httpstcowvajisgysw,fake
7526,thi lockdown spain you guy india luckyu get canedsupport namo,fake
4645,the reason disrupt immun servic vari even servic offer peopl either unabl access reluct leav hous transport interrupt econom hardship restrict movement fear expos ppl covid 19 httpstcoiwblf 9jno3,real
4737,it first night republican nation convent here roundup recent claim realdonaldtrump republican covid 19 economi httpstco 4hjvlawftz httpstcop 7yjaalhki,fake
9842,covid 19 ga thi happen tonight street rome thousand bird lie everywher,fake
4010,bill gate expel india due polio vaccin,fake
9882,221 new case covid 19nigeria plateau 60 fct 33 kaduna 26 river 18 lago 17 enugu 9 kwara 9 ondo 9 nasarawa 6 gomb 5 anambra 5 delta 4 abia 4 imo 3 edo 2 ogun 2 oyo 2 osun 2 bauchi 1 kano 1 53021 confirm 40281 discharg 1010 death httpstcoikksxji 6gl,real
334,medic director phe dr yvonn doyl say covid 19 flu riski situat encourag peopl invit flu vaccin kayburley live updat httpstcoi 0ya5yftvz httpstcoq 5l3s0yfe,real
6530,an imag peopl lie street relat coronaviru,fake
6054,thi week cdc receiv 15 model forecast possibl covid 19 death us as may 25 forecast suggest increas total number death continu slow exceed 115000 june 20 forecast vari state see httpstcoft 6cgmampx httpstcof 62t8cff9t,real
3190,would jesu wear viru mask httpstcowef 6x3ecbb,fake
6179,home secretari priti patel tell ski new would call polic neighbour host parti broke coronaviru restrict httpstcok 662bvfc1b,real
2535,as vaccin covid 19 avail anywher world howev clinicaltri sever covid 19 vaccin underway due multipl variabl involv complex process cannot commit datetimelin launch vaccin httpstcoonjtyyb 1,real
10026,twelv new case covid 19 report nigeria 9 osun 2 edo 1 ekiti state as 1230 pm 1st april 151 confirm case covid 19 report nigeria nine discharg two death httpstcosvxz 4h3pbd,real
2096,consum alcohol beverag vodka reduc risk covid 19 infect,fake
9034,239 new case covid 19 97lago 44bauchi 29kano 19katsina 17borno 7fct 6kwara 5oyo 3kaduna 3sokoto 2adamawa 2kebbi 2plateau 2ogun 1ekiti 4151 case covid 19 nigeria discharg 745 death 128 httpstcotvlnjr 4ajl,real
9900,say joe biden gretchen whitmer maskless detroit athlet club our children mandat wear mask play outdoor sport ,fake
6017,coronavirusupd indiafightscorona covid 19 recoveri rate climb new high nearli 68 httpstcomvbmymh 2cn httpstcofqxfb 7x1g,real
9125,just remind dm open test tidbit may state or mayb work heath depart big test compani would like explain  go we ,real
2610,from june 10 juli 10 five state seen gener rise case steadili increas hospit httpstcofvvjqlx 0f7,real
2266,ucla health medic record suggest covid may circul us sinc last decemb physician notic er visit respiratori complaint amp patient acut respiratori failur compar past year cnn httpstcozutycuzrv 1,real
2131,extraordinari circumst caus covid 19 taken account complaint doctor gmc announc httpstco 7yn4jdfxmw,real
3069,florida  refus report current covid 19 hospit number leav us without critic data point one worst outbreak summer surg httpstcoxtzkg 8cy7j,real
8301,germani sent china bill 130 billion damag caus economi due coronaviru,fake
5624,as know one group older peopl especi live longterm care facil in mani countri 40 covid 19relat death link longterm care facil 80 highincom countriesdrtedro,real
9238,repeat laboratori test combin infect prevent control intervent like contribut decreas covid 19 spread 26 detroit skill nurs facil read cdcmmwr httpstcoayk 1obibp4 httpstcogsspuidefu,real
1653,we assum hospit increas avail bed covid 19 patient approxim 5 per day reach maximum capac increas 107 current bed capac,real
8769,the case manag isol child arriv nz afghanistan via dubai the person manag isol pullman the person test posit follow day 12 routin test,real
3354,nigeria  covid 19 case fatal ratio 28 june less countri within amp outsid africa thi may attribut young popul peopl test posit diseas age 3140 year more male affect femal httpstco 6qw3y02f5,real
1945,114 new case covid 19 report 80 lago 21 gomb 5 fct 2 zamfara 2 edo 1 ogun 1 oyo 1 kaduna 1 sokoto as 1130 pm 24th april 1095 confirm case covid 19 report nigeria discharg 208 death 32 httpstconidv 1zth9o,real
4476,the latest cdc covidview report show percentag death attribut covid 19 increas june 27 juli 11 thi first multiweek increas report sinc midapril howev indic sinc declin httpstcozp 4vylo0pb httpstco 2nkjl2sebf,real
8428,a model thelancet studi contact trace data 40000 peopl uk the research found combin contact trace quarantin better contain viru compar either mass test selfisol alon httpstcooolfqhvxac,real
2572,thi increas 4 yesterday due famili unabl test time 3 wait result 1 person test return contact refer enforc ,real
9856,in india 3 covid 19 vaccin clinic trial underway the oxford universityastrazeneca covid vaccin collabor serum institut india sii undergo phase iii clinic trial britain brazil south africa amp india remain two indigen 12 httpstcosntffsh 2ht,real
2229,rt pibmumbai a quarantin centr run team doctor brahman seva mandal dadar made patient much ea ,real
2454,kenyan presid uhuru give artist sh 2 billion cushion due covid 19 job loss,fake
5384,54 peopl link cluster move quarantin facil includ 24 peopl test posit   our total number confirm case date 1258 report who,real
6165,to clear track public health websit occasion howev state share inform local media make offici repositori wed like captur data possibl,real
6731,bolton see anoth sharp rise coronaviru infect 192 new case per 100000 peopl httpstcohksb 736u62,real
3705,swiss govern document confirm pcr test use detect novel coronaviru,fake
9347,ianogradyaz paulaheali they provid number public lab neg commerci test it like close cigar alexismadrig,real
868,if larger outbreak entir build close 48 hour thorough disinfect all staff work home till build adequ disinfect declar fit reoccup 24,real
9831,kennedi center pb donat democrat get covid 19 stimulu money,fake
8651,we factcheck rang statement second night dnc 2020 here highlight deal coronaviru case number trumpadministr  posit aca httpstcobkhyjteumf,fake
6758,were pleas announc inclus 24th lab nation covid 19 laboratori network everight diagnost amp laboratori servic imo state read latest guid integr privat sector laboratori covid 19 test httpstcosvr 0kmf4w httpstcofkqx 9sl5x1,real
8468,04051952 n thi provis cgh card valid avail facil cgh well centr india covid 19 diseas well mention cgh document earlier tweet,real
7573,four case contact previous report confirm case   the remain person test posit covid 19 interview today determin possibl link cluster,real
557,kamala harri sister take hydroxychloroquin lupu  covid 19 httpstcoaklu 8ikrd1 httpstcoiq 23ebkekz,fake
8063,elonmusk teslaownerssv renatakonkoli sdunbabin jonkay quillett the cdc report data anyth close realtim reli make analysi coupl week late alexismadrig,real
4742,now question ariseswher tax payer money disappear what duti governmentbureaucract covid 19 pandem smilingfac xpressbengaluru drashwathcn csogok httpstcof 2qv7rmtqd,fake
1897,rss chief mohan bhagwant said covid 19 shook faith religion,fake
8273,consum chlorin dioxid cure coronaviru,fake
4299,say two patient valley region medic center brownsvil texa look  possibl coronaviru infect,fake
6226,wear mask coronaviru decreas oxygen intak increas toxin inhal shut immun system increas viru risk scientif inaccur effect studi,fake
1435,there nine peopl covid 19 hospit two auckland citi hospit four peopl middlemor two peopl north shore hospit one person waikato hospit six peopl stabl ward three peopl middlemor icu,real
4453,covid 19 spread peopl anim close contact take step keep pet safe covid 19 httpstcog 8d uiqxiwr httpstcouac 45bd9xc,real
2667,patient age 65  rmd 5x like hospit covid 19 httpstcoftuook 9et5 eular 2020 httpstcoj 4lrfqrhpo,real
1734,resid corona california want the citi  name chang httpstco 3hzrsjmrp5 donaldtrump california coronaviru grafitti,fake
5525,the total number confirm case covid 19 remain 1206 number report who there new recov case today mean total number activ case new zealand manag isol quarantin facil remain 21,real
1073,rt nih new studi identifi potenti approach treat sever respiratori distress patient covid 19 httpstcoprhatldqi 4,real
2548,brazilian compani owner laid employe pandem commit suicid,fake
2875,the total number confirm case covid 19 1199 number report world health organ   there one new zealand receiv hospitallevel care covid 19,real
4052,as today 3793 activ covid 19 case ahmedabad district gujarat httpstcogialss 3xd7 mohfwindia drharshvardhan drhvoffic cmoguj dgpgujarat covid 19 covid 19 covid 19 coronaupd coronavirusindia coronavirusupd coronaviru covidupd httpstcocakyp 6cce9,real
6330,new priti patel  guid sleep soundli terrifi pandem httpstcoqe 5bajrg httpstco 3lmoijfxuz,fake
9193,the health insur industri agre waiv copay coronaviru treatment ,fake
4581,new cdcmmwr contact trace 2 nc counti find mani peopl covid 19  report contact mani contact report  reach in one counti third peopl  report contact amp half contact report  reach httpstcotuqfudzenx httpstcorysslizifm,real
5254,new covid 19 test posit bori johnson httpstcowrhckyi 1fu httpstcokadu 7txeuk,fake
1347,new whitehous cdc amp dhsgov guidanc appli critic employe expos confirm suspect covid 19 case symptom they screen enter work monitor symptom wear cloth face cover practic social distanc,real
5865,back covid 19 today world record 12 million case in last 6 week case doubleddrtedro,real
4068,weed kill coronaviru,fake
2347,a photo woman lie hospit bed medic equip attach bodi share hundr time facebook twitter alongsid claim woman doctor die beaten muslim mob tri administ novel coronaviru test,fake
9111,loudspeakercoronavirusupd checkmarkbuttonindia covid 19 recoveri rate improv 7788 septemb 13 2020 roundpushpinsteadi improv india covid 19 recoveri rate sinc lockdown initi march 25 2020 indiafightscorona icmrdelhi via mohfwindia httpstcomghuvcmi 6x,real
9969,hseliv know anoth answer vitamin d supplement extens clinic evid suffici vitamin d reduc sever covid 19 hospit protocol covid 19 franc immedi test treat vit d defici chronic vit d defici ireland  action,fake
390,dr dana meaneydelman part emerg respons zika ebola outbreak read experi help take covid 19 httpstco 3v15grrejz httpstcopbknnmf 6hr,real
